content,label
bantu pas ingin ngopi tinggal aplikasi,positif
top banget,positif
kali,positif
good jobb,positif
puas rasamau sesuai selera,positif
mudah beli,positif
gorontalo buka tapi layan sudaah terima kasih,positif
oke,positif
suka,positif
tempat nyaman waiters ramah tempat sendiri cari inspirasi ngerjain tugas the best pokok na,positif
bayar via gopay shopeepay,positif
my fav,positif
promo tarik,positif
layan komposisi takar sesuai,positif
gacor abiieess,positif
keren,positif
nice aplikasi bantu cari dekat cuman pesan aplikasi pesan ilain pas pickup minum bikin tinggal ambil,positif
pas bersih layan oke saran layan order cepat biar tunggu tunggu order menit bikin bete rusak mood,negatif
layan responsif keluh,negatif
gas beli bos dunia,positif
sdh bbrp kali beli sinimulai dr rest area pulang pergi mampirmargorejomerr baru rumah asa harga lumayan aplikasi mudah cepat menu tdk kl tidak kasih the best,positif
sudah plus roti abon,positif
ubah nikmat,positif
promo jd dpt harga murah,positif
gurih gurih mantab,positif
nikmat asli sedia bayak,positif
yg asik asik lagu,positif
mantap,positif
suka,positif
oke ribet,negatif
update promo mudah pesan jelas menu bantu,positif
cocok gen yg pontang panting obat,positif
zaman orang sakit dar ngopi joget tangan kiri kanan,positif
bantu aplikasi,positif
aplikasi cepat mudah paham,positif
harga jangkau promo aplikasi,positif
kualitas no more dunia banyan pilih menu bahan dasar pastry kualitas,negatif
enak skali moga variant,positif
baguss,positif
mantab,positif
oke,positif
harga jangkau jd favorite,positif
suka,positif
kelas,positif
puas,positif
cepat enak murah suka banget inovasi begini,positif
tim jalan teuku umar bal is the best,positif
self reward bnget klo sudah ngopi,positif
love more,positif
recommend,positif
mantep,positif
layan ramah,positif
layan ramah,positif
sesuai bersih,positif
bantu aplikasi,positif
good,positif
taste full ramah kantong,positif
oke,positif
oke,positif
aplikasi kopi bener doang brand sisa bapuk,positif
aplikasi mudah discount tempay nyaman staff yg ramah senang,positif
kikir wifi pake password pusat ganti dah kayak ngemis tidak hapus wifi gratis kikir,negatif
mah bangett wifi ya tuhan kek jaman lelet ya wifi kek gitu jaring,negatif
beda khas,positif
promo,positif
suka,positif
solusi kalo ngantuk yah minum dong,positif
aplikasi kafe yg jamin aman percaya,positif
menu tidak complete ku gaada toastnya pdhl beli toastnya jd kl mo beli toast sen manual,negatif
mantap tinggal info grup komunitas baharu thankyou,positif
keren top,positif
butterscots sea salt,positif
aplikasi promonya,positif
promo thebest,positif
layan cepat ramah gausah ragu mantab poko,positif
kadang bbrp yg tidak asa,negatif
kecewa,negatif
aplikasi mudah diskon harga jangkau,positif
praktis beli order pas sampe store pesan sudah,positif
oke,positif
discont,positif
harga pas kantong nyaman,positif
worth it,positif
mudah mesan,positif
best,positif
keren,positif
promo,positif
kenang,negatif
tolong baik bugnya bagi chat driver,negatif
layan ramah,positif
nyaman,positif
kasih diskon biar beli,positif
guna dpt diskon,positif
mudah promonya,positif
oke,positif
buka dong,positif
nyaman santai bersih pkoknya is the best roti jg,positif
bantu,positif
over all oke,positif
bingung kasi aplikasi tapi cm guna utk pesan klik tapi no antri tidak laku hnya kt turun masuk pesan,negatif
favorite kota bengkulu overall semuaa love it tolong baik maps apknya yaa alamat rumah ku susah banget cari huhu,positif
oke,positif
dah aplikasi,positif
harga jangkau layan muas sih ya,positif
pokok,positif
good services and good taste,positif
promo,positif
ramah pelayannannya,positif
diskon belanja bcs mall batam,positif
sajauh favorit lidah jg nyaman banget bawa anak moga jaya darat laut udara,positif
enakbanyak promonya,positif
mudah simpel bantu,positif
banyakin promo,positif
